round,coop_rate,attack_success_rate,avg_def_pay,attacker_q
0,0.535625,1.0,-5.659375000000001,0.4
10,0.678125,1.0,0.02812499999999943,0.4
20,0.8,0.9913793103448276,5.587500000000001,0.4
30,0.833125,0.9919354838709677,4.853125000000001,0.4
40,0.865,0.9880952380952381,6.028125,0.4
50,0.895,0.9367088607594937,7.01875,0.4
60,0.8875,0.9772727272727273,6.5125,0.4
70,0.90625,0.9,8.959375,0.4
80,0.910625,0.8923076923076924,7.94375,0.4
90,0.920625,0.873015873015873,7.612499999999999,0.4
100,0.89,0.9367088607594937,7.921875,0.4
110,0.9075,0.9152542372881356,8.384375,0.4
120,0.894375,0.9452054794520548,7.993750000000001,0.4
130,0.898125,1.0,7.253124999999999,0.4
140,0.865625,1.0,6.190625000000001,0.4
150,0.891875,0.963855421686747,7.696875000000002,0.4
160,0.839375,1.0,5.781249999999999,0.4
170,0.918125,0.9298245614035088,7.903125,0.4
180,0.92375,0.9411764705882353,8.909375,0.4
190,0.909375,0.8867924528301887,8.259375,0.4
200,0.928125,0.8431372549019608,8.221875,0.4
210,0.948125,0.7380952380952381,9.246874999999998,0.4
220,0.926875,0.8260869565217391,8.396875000000001,0.4
230,0.956875,0.7659574468085106,9.384375,0.4
240,0.978125,0.36363636363636365,10.459374999999998,0.4
250,0.9825,0.5,10.678125,0.4
260,0.976875,0.5384615384615384,10.371875,0.4
270,0.976875,0.6896551724137931,11.165624999999999,0.4
280,0.99625,0.20689655172413793,11.840625,0.4
290,1.0,0.0,11.05,0.4
300,1.0,0.0,11.25,0.4
310,1.0,0.0,10.625,0.4
320,1.0,0.0,11.0,0.4
330,1.0,0.0,11.125,0.4
340,1.0,0.0,11.625,0.4
350,1.0,0.0,10.875,0.4
360,1.0,0.0,11.025,0.4
370,1.0,0.0,10.55,0.4
380,1.0,0.0,10.475,0.4
390,1.0,0.0,10.275,0.4
400,1.0,0.0,10.425,0.4
410,1.0,0.0,11.225,0.4
420,1.0,0.0,10.75,0.4
430,1.0,0.0,10.725,0.4
440,1.0,0.0,10.9,0.4
450,1.0,0.0,10.9,0.4
460,1.0,0.0,11.1,0.4
470,1.0,0.0,11.0,0.4
480,1.0,0.0,11.825,0.4
490,1.0,0.0,11.225,0.4
500,1.0,0.0,10.425,0.4
510,1.0,0.0,11.375,0.4
520,1.0,0.0,11.225,0.4
530,1.0,0.0,10.375,0.4
540,1.0,0.0,11.65,0.4
550,1.0,0.0,11.325,0.4
560,1.0,0.0,10.8,0.4
570,1.0,0.0,10.5,0.4
580,1.0,0.0,10.325,0.4
590,1.0,0.0,10.9,0.4
600,1.0,0.0,11.775,0.4
610,1.0,0.0,10.2,0.4
620,1.0,0.0,11.225,0.4
630,1.0,0.0,11.175,0.4
640,1.0,0.0,10.45,0.4
650,1.0,0.0,10.0,0.4
660,1.0,0.0,11.15,0.4
670,1.0,0.0,11.025,0.4
680,1.0,0.0,10.675,0.4
690,1.0,0.0,11.7,0.4
700,1.0,0.0,11.075,0.4
710,1.0,0.0,10.725,0.4
720,1.0,0.0,11.25,0.4
730,1.0,0.0,11.0,0.4
740,1.0,0.0,11.475,0.4
750,1.0,0.0,10.7,0.4
760,1.0,0.0,10.85,0.4
770,1.0,0.0,11.0,0.4
780,1.0,0.0,11.025,0.4
790,1.0,0.0,11.025,0.4
800,1.0,0.0,11.275,0.4
810,1.0,0.0,10.95,0.4
820,1.0,0.0,10.425,0.4
830,1.0,0.0,10.575,0.4
840,1.0,0.0,11.575,0.4
850,1.0,0.0,11.7,0.4
860,1.0,0.0,10.8,0.4
870,1.0,0.0,10.825,0.4
880,1.0,0.0,10.225,0.4
890,1.0,0.0,11.35,0.4
900,1.0,0.0,10.85,0.4
910,1.0,0.0,10.65,0.4
920,1.0,0.0,11.025,0.4
930,1.0,0.0,10.35,0.4
940,1.0,0.0,11.375,0.4
950,1.0,0.0,10.65,0.4
960,1.0,0.0,10.825,0.4
970,1.0,0.0,11.0,0.4
980,1.0,0.0,10.875,0.4
990,1.0,0.0,10.85,0.4
1000,1.0,0.0,11.525,0.4
1010,1.0,0.0,11.325,0.4
1020,1.0,0.0,11.75,0.4
1030,1.0,0.0,10.675,0.4
1040,1.0,0.0,11.525,0.4
1050,1.0,0.0,11.125,0.4
1060,1.0,0.0,11.3,0.4
1070,1.0,0.0,10.75,0.4
1080,1.0,0.0,11.525,0.4
1090,1.0,0.0,11.225,0.4
1100,1.0,0.0,11.225,0.4
1110,1.0,0.0,10.975,0.4
1120,1.0,0.0,10.0,0.4
1130,1.0,0.0,12.05,0.4
1140,1.0,0.0,10.825,0.4
1150,1.0,0.0,10.375,0.4
1160,1.0,0.0,10.875,0.4
1170,1.0,0.0,10.675,0.4
1180,1.0,0.0,10.8,0.4
1190,1.0,0.0,9.8,0.4
1200,1.0,0.0,10.85,0.4
1210,1.0,0.0,11.35,0.4
1220,1.0,0.0,10.925,0.4
1230,1.0,0.0,10.9,0.4
1240,1.0,0.0,10.975,0.4
1250,1.0,0.0,10.525,0.4
1260,1.0,0.0,11.625,0.4
1270,1.0,0.0,10.925,0.4
1280,1.0,0.0,10.475,0.4
1290,1.0,0.0,11.4,0.4
1300,1.0,0.0,11.125,0.4
1310,1.0,0.0,10.8,0.4
1320,1.0,0.0,11.575,0.4
1330,1.0,0.0,10.125,0.4
1340,1.0,0.0,11.3,0.4
1350,1.0,0.0,10.325,0.4
1360,1.0,0.0,10.35,0.4
1370,1.0,0.0,10.55,0.4
1380,1.0,0.0,11.275,0.4
1390,1.0,0.0,11.275,0.4
1400,1.0,0.0,11.1,0.4
1410,1.0,0.0,10.525,0.4
1420,1.0,0.0,10.7,0.4
1430,1.0,0.0,11.6,0.4
1440,1.0,0.0,11.325,0.4
1450,1.0,0.0,10.9,0.4
1460,1.0,0.0,10.9,0.4
1470,1.0,0.0,10.75,0.4
1480,1.0,0.0,10.625,0.4
1490,1.0,0.0,10.8,0.4
1500,1.0,0.0,10.7,0.4
1510,1.0,0.0,10.8,0.4
1520,1.0,0.0,10.975,0.4
1530,1.0,0.0,10.4,0.4
1540,1.0,0.0,11.4,0.4
1550,1.0,0.0,11.05,0.4
1560,1.0,0.0,10.825,0.4
1570,1.0,0.0,9.95,0.4
1580,1.0,0.0,11.45,0.4
1590,1.0,0.0,11.275,0.4
1600,1.0,0.0,10.475,0.4
1610,1.0,0.0,10.975,0.4
1620,1.0,0.0,11.175,0.4
1630,1.0,0.0,10.775,0.4
1640,1.0,0.0,11.25,0.4
1650,1.0,0.0,10.325,0.4
1660,1.0,0.0,10.55,0.4
1670,1.0,0.0,11.55,0.4
1680,1.0,0.0,10.65,0.4
1690,1.0,0.0,10.8,0.4
1700,1.0,0.0,10.9,0.4
1710,1.0,0.0,11.325,0.4
1720,1.0,0.0,10.35,0.4
1730,1.0,0.0,11.15,0.4
1740,1.0,0.0,10.65,0.4
1750,1.0,0.0,10.425,0.4
1760,1.0,0.0,11.8,0.4
1770,1.0,0.0,11.1,0.4
1780,1.0,0.0,11.25,0.4
1790,1.0,0.0,10.325,0.4
1800,1.0,0.0,10.5,0.4
1810,1.0,0.0,10.075,0.4
1820,1.0,0.0,11.35,0.4
1830,1.0,0.0,11.4,0.4
1840,1.0,0.0,11.6,0.4
1850,1.0,0.0,10.4,0.4
1860,1.0,0.0,11.225,0.4
1870,1.0,0.0,11.4,0.4
1880,1.0,0.0,10.3,0.4
1890,1.0,0.0,11.5,0.4
1900,1.0,0.0,10.65,0.4
1910,1.0,0.0,11.65,0.4
1920,1.0,0.0,11.075,0.4
1930,1.0,0.0,10.9,0.4
1940,1.0,0.0,10.65,0.4
1950,1.0,0.0,10.7,0.4
1960,1.0,0.0,10.275,0.4
1970,1.0,0.0,10.95,0.4
1980,1.0,0.0,11.275,0.4
1990,1.0,0.0,10.9,0.4
